STATE,ST_CASE,FATALS
4,40235,1
4,40236,1
4,40237,1
4,40238,1
4,40239,1
4,40240,1
4,40241,1
4,40242,2
4,40243,1
4,40244,1
4,40245,1
4,40246,1
4,40247,1
4,40248,1
4,40249,1
4,40250,1
4,40251,1
4,40252,1
4,40253,1
4,40254,1
4,40255,1
4,40256,1
4,40257,1
4,40258,1
4,40259,1
4,40260,2
4,40261,1
4,40262,1
4,40263,1
4,40264,1
4,40265,1
4,40266,1
4,40268,1
4,40269,1
4,40270,2
4,40271,1
4,40272,3
4,40273,1
4,40274,1
4,40275,1
4,40276,1
4,40277,1
4,40278,1
4,40279,1
4,40280,1
4,40281,1
4,40282,1
4,40283,1
4,40284,1
4,40285,1
4,40286,1
4,40287,1
4,40288,1
4,40289,1
4,40290,1
4,40291,1
4,40292,1
4,40293,1
4,40294,2
4,40295,1
4,40296,1
4,40297,1
4,40298,1
4,40299,1
4,40300,1
4,40301,1
4,40302,2
4,40303,1
4,40304,1
4,40305,2
4,40306,1
4,40307,1
4,40308,1
4,40309,1
4,40310,1
4,40311,1
4,40312,3
4,40313,1
4,40314,1
4,40315,1
4,40316,2
4,40317,1
4,40318,1
4,40319,3
4,40320,1
4,40321,1
4,40322,1
4,40323,1
4,40324,1
4,40325,1
4,40326,1
4,40327,1
4,40328,1
4,40329,1
4,40330,1
4,40331,1
4,40332,1
4,40333,2
4,40334,2
4,40335,1
4,40336,1
4,40337,1
4,40338,1
4,40339,1
4,40340,1
4,40341,1
4,40342,1
4,40343,1
4,40344,1
4,40345,1
4,40346,1
4,40347,1
4,40348,1
4,40349,1
4,40350,1
4,40351,1
4,40352,1
4,40353,1
4,40354,1
4,40355,1
4,40356,1
4,40357,1
4,40358,1
4,40359,1
4,40360,1
4,40361,1
4,40362,1
4,40363,1
4,40364,1
4,40365,1
4,40366,1
4,40367,1
4,40368,1
4,40369,1
4,40370,1
4,40371,1
4,40372,1
4,40373,1
4,40374,1
4,40376,1
4,40377,3
4,40378,1
4,40379,1
4,40380,1
4,40381,1
4,40382,1
4,40383,2
4,40384,1
4,40385,1
4,40386,1
4,40387,1
4,40389,1
4,40390,1
4,40391,1
4,40392,1
4,40394,1
4,40395,1
4,40396,1
4,40397,1
4,40398,1
4,40399,1
4,40400,1
4,40401,1
4,40402,1
4,40403,1
4,40404,1
4,40405,1
4,40406,1
4,40407,1
4,40408,1
4,40409,4
4,40410,2
4,40411,1
4,40412,1
4,40413,1
4,40414,1
4,40415,1
4,40416,4
4,40417,1
4,40418,1
4,40419,1
4,40420,1
4,40421,1
4,40422,1
4,40423,2
4,40424,1
4,40425,1
4,40426,1
4,40427,1
4,40428,1
4,40429,2
4,40430,1
4,40431,1
4,40432,1
4,40433,1
4,40434,1
4,40435,1
4,40436,1
4,40437,1
4,40438,1
4,40439,1
4,40440,1
4,40441,1
4,40442,1
4,40443,1
4,40444,3
4,40445,1
4,40446,1
4,40447,1
4,40448,2
4,40449,1
4,40450,2
4,40451,1
4,40452,1
4,40453,2
4,40454,1
4,40455,1
4,40456,1
4,40457,1
4,40458,1
4,40459,1
4,40460,1
4,40461,1
4,40462,1
4,40463,1
4,40464,1
4,40465,1
4,40467,1
4,40468,1
4,40469,6
4,40470,3
4,40471,1
4,40472,1
4,40473,1
4,40474,2
4,40475,1
4,40476,1
4,40477,1
4,40478,1
4,40479,1
4,40480,1
4,40481,1
4,40482,1
4,40483,1
4,40484,1
4,40485,1
4,40486,1
4,40487,1
4,40488,1
4,40489,1
4,40490,1
4,40491,1
4,40492,1
4,40493,2
4,40494,1
4,40495,1
4,40496,1
4,40497,1
4,40498,1
4,40499,1
4,40500,1
4,40501,1
4,40502,1
4,40503,1
4,40504,1
4,40505,1
4,40506,1
4,40507,1
4,40508,1
4,40509,2
4,40510,1
4,40511,1
4,40512,1
4,40513,1
4,40514,1
4,40515,1
4,40516,1
4,40517,1
4,40518,1
4,40519,2
4,40520,1
4,40521,1
4,40522,1
4,40523,2
4,40524,1
4,40525,1
4,40526,1
4,40527,1
4,40528,1
4,40529,1
4,40530,1
4,40531,2
4,40532,1
4,40533,1
4,40534,1
4,40535,1
4,40536,1
4,40537,1
4,40538,1
4,40539,1
4,40540,1
4,40541,1
4,40542,1
4,40543,1
4,40544,3
4,40545,2
4,40547,1
4,40548,2
4,40549,1
4,40550,1
4,40551,1
4,40552,1
4,40553,1
4,40554,1
4,40555,2
4,40556,1
4,40557,1
4,40558,1
4,40559,1
4,40560,1
4,40561,1
4,40562,1
4,40563,1
4,40564,1
4,40565,1
4,40566,1
4,40567,1
4,40568,1
4,40569,1
4,40570,1
4,40571,1
4,40572,1
4,40573,1
4,40574,1
4,40575,1
4,40576,3
4,40577,1
4,40578,1
4,40579,1
4,40580,1
4,40582,1
4,40583,1
4,40584,1
4,40585,1
4,40586,2
4,40587,1
4,40588,1
4,40589,1
4,40590,1
4,40591,1
4,40592,1
4,40593,1
4,40594,1
4,40595,3
4,40596,2
4,40597,1
4,40598,1
4,40599,1
4,40600,1
4,40601,1
4,40602,1
4,40603,1
4,40604,1
4,40606,1
4,40607,1
4,40608,1
4,40609,1
4,40610,1
4,40611,1
4,40612,1
4,40613,1
4,40614,1
4,40615,1
4,40616,1
4,40617,1
4,40618,1
4,40619,1
4,40620,1
4,40621,1
4,40622,1
4,40623,3
4,40624,1
4,40625,1
4,40626,1
4,40627,1
4,40628,1
4,40629,1
4,40630,1
4,40631,1
4,40632,1
4,40633,1
4,40634,1
4,40635,1
4,40636,1
4,40637,1
4,40638,1
4,40639,2
4,40640,1
4,40641,1
4,40642,1
4,40643,1
4,40644,1
4,40645,1
4,40646,1
4,40647,1
4,40648,1
4,40649,1
4,40650,1
4,40651,1
4,40652,1
4,40653,2
4,40654,1
4,40655,1
4,40656,1
4,40657,1
4,40658,1
4,40659,1
4,40660,1
4,40661,1
4,40662,1
4,40663,1
4,40664,1
4,40665,1
4,40666,1
4,40667,1
4,40668,1
4,40669,1
4,40671,1
4,40672,1
4,40673,1
4,40674,2
4,40675,1
4,40676,1
4,40677,1
4,40678,1
4,40679,1
4,40680,1
4,40681,1
4,40682,1
4,40683,1
4,40684,2
4,40685,1
4,40686,1
4,40687,1
4,40688,1
4,40689,1
4,40690,1
4,40691,1
4,40692,1
4,40693,1
4,40694,1
4,40695,1
4,40696,1
4,40697,1
4,40698,1
4,40699,1
4,40700,1
4,40701,1
4,40702,1
4,40703,1
4,40704,1
4,40705,1
4,40706,1
4,40707,1
4,40708,1
4,40709,1
4,40710,1
4,40711,1
4,40712,1
4,40713,1
4,40714,1
4,40715,1
4,40716,1
4,40717,1
4,40718,1
4,40720,1
4,40721,1
4,40722,1
4,40723,1
4,40724,1
4,40725,1
4,40726,1
4,40727,1
4,40728,1
4,40729,1
4,40730,1
4,40731,3
4,40732,1
4,40733,1
4,40734,1
4,40735,1
4,40736,1
4,40737,1
4,40738,1
4,40739,1
4,40740,1
4,40741,1
4,40742,1
4,40743,1
4,40744,1
4,40745,1
4,40746,1
4,40747,1
4,40748,1
4,40749,1
4,40750,1
4,40751,1
4,40752,1
4,40753,1
4,40754,2
4,40755,1
4,40756,1
4,40757,1
4,40758,1
4,40759,1
4,40760,1
4,40761,1
4,40762,1
4,40763,1
4,40764,1
4,40765,1
4,40766,1
4,40767,1
4,40768,1
4,40769,1
4,40771,1
4,40772,1
4,40773,1
4,40774,1
4,40775,1
4,40776,1
4,40777,1
4,40778,1
4,40779,1
4,40780,2
4,40781,1
4,40782,1
4,40783,1
4,40784,1
4,40785,1
4,40786,1
4,40787,1
4,40788,1
4,40789,1
4,40790,1
4,40791,1
4,40792,1
4,40793,1
4,40794,1
4,40795,1
4,40796,1
4,40797,1
4,40798,1
4,40799,1
4,40800,1
4,40801,1
4,40802,1
4,40803,1
4,40804,1
4,40805,1
4,40806,1
4,40807,1
4,40808,1
4,40809,1
4,40810,1
4,40811,1
4,40812,1
4,40813,1
4,40814,1
4,40815,1
4,40817,1
4,40818,1
4,40819,1
4,40820,1
4,40821,2
4,40822,1
4,40823,1
4,40824,1
4,40825,2
4,40826,1
4,40827,1
4,40828,1
4,40829,1
4,40830,1
4,40831,1
4,40832,1
4,40833,1
4,40834,1
4,40835,1
4,40836,1
4,40837,1
4,40838,1
4,40839,1
4,40840,1
4,40842,1
4,40843,1
4,40844,1
4,40845,1
4,40846,1
4,40847,1
4,40848,4
4,40849,1
4,40850,1
4,40851,1
4,40852,1
4,40853,1
4,40854,1
4,40855,1
4,40856,1
4,40857,1
4,40858,1
4,40859,1
4,40860,1
4,40861,1
4,40862,1
4,40863,1
4,40864,1
4,40865,1
4,40866,1
4,40867,1
4,40868,1
4,40869,1
4,40870,1
4,40871,1
4,40872,1
4,40873,1
4,40874,1
4,40875,1
4,40876,1
4,40877,1
4,40878,1
4,40879,2
4,40880,2
4,40881,1
4,40883,1
4,40884,1
4,40885,1
4,40886,1
4,40887,1
4,40888,1
4,40889,1
4,40890,1
4,40891,1
4,40892,1
4,40893,1
4,40894,1
4,40895,1
4,40896,1
4,40897,1
4,40898,1
4,40899,1
4,40900,1
4,40901,1
4,40902,1
4,40903,1
4,40904,3
4,40905,1
4,40906,1
4,40907,1
4,40908,1
4,40909,1
4,40910,1
4,40911,1
4,40912,1
4,40913,1
4,40914,1
4,40915,1
4,40916,1
4,40917,1
4,40918,1
4,40919,1
4,40920,1
4,40921,1
4,40922,1
4,40923,1
4,40924,1
4,40925,1
4,40926,1
4,40927,1
4,40928,1
4,40929,1
4,40930,1
4,40931,1
4,40932,1
4,40933,1
4,40934,1
4,40935,1
4,40936,1
4,40937,2
4,40938,1
4,40939,1
4,40940,1
4,40941,1
4,40942,1
4,40943,1
4,40944,1
4,40945,1
4,40946,1
4,40947,1
4,40948,1
4,40949,1
4,40950,1
4,40951,2
4,40952,1
4,40953,2
4,40954,1
4,40955,1
4,40956,1
4,40957,1
4,40958,1
4,40959,1
